RESORT	BUSINESS_DATE	CHAR_BUSINESS_DATE	MARKET_CODE	CF_MASTER_SEQ	GROUP_NAME	S_REV_MKT	S_DEF_ROOMS_MKT	S_FB_REV_MKT	S_MISC_REV_MKT	MKT_RESORT_ROOM	GUEST_MKT	TOT_ARR_MKT	PER_OCC_MKT	PER_DOUBLE_MKT	DOUBLE_OCC_MKT	SINGLE_OCC_MKT	GUEST_DAY	ARRIVAL_DAY	ARRIVAL_MKT	TOT_ARR_DAY	PER_OCC_DAY	PER_DOUBLE_OCC_DAY	SINGLE_OCC_DAY	S_MISC_REV_DAY	DAY_RESORT_ROOM	S_FB_REV_DAY	DOUBLE_OCC_DAY	S_REV_DAY	S_DEF_ROOMS_DAY	ARR_TODAY	NO_DEFINITE_ROOMS	IN_GUEST	OCC_SINGLE	DOUBLE_OCC	REVENUE	FB_REV	OTHER_REV	TOTAL_REVENUE	RESORT_ROOM	PER_OCC	GET_ARR	MULTI_OCC_PER
SHR	02-JAN-19	01-02-19	BAR	BAR	BAR	660717.25	822	115563.75	39497.350459770114	47815	1209	803.792275	1.71912580	.650423507	311	511	54	0	0	582.321	22.9007634	14.5038168	11	18338.597011494253	131	18735.94	19	17469.63	30	0	10	17	4	6	6012.25	3061.36	403.957011494253	9477.567011494253	131	7.63358779	601.225	4.58015267
SHR	02-JAN-19	01-02-19	CON	CON	CON	607773.5	808	111332.54	40399.412298850574	47815	1229	752.194926	1.68984628	.805186657	385	423	54	0	0	582.321	22.9007634	14.5038168	11	18338.597011494253	131	18735.94	19	17469.63	30	0	4	8	1	3	2121.5	597.42	894	3612.92	131	3.05343511	530.375	2.29007634
SHR	02-JAN-19	01-02-19	COR	COR	COR	626405	1066	51217.05	11934.108735632184	47815	1138	587.621951	2.22942591	.138031998	66	1000	54	0	0	582.321	22.9007634	14.5038168	11	18338.597011494253	131	18735.94	19	17469.63	30	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	02-JAN-19	01-02-19	CPM	CPM	CPM	0	26	3235.43	-122.48	47815	53	0	.054376242	.033462303	16	10	54	0	0	582.321	22.9007634	14.5038168	11	18338.597011494253	131	18735.94	19	17469.63	30	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	02-JAN-19	01-02-19	HSU	HSU	HSU	-385.66	32	3638133.18	1746095.962068965516	47815	43	-12.051875	.066924605	.020913939	10	22	54	0	0	582.321	22.9007634	14.5038168	11	18338.597011494253	131	18735.94	19	17469.63	30	0	0	0	0	0	0	13196.26	16938.64	30134.9	131	0	0	0
SHR	02-JAN-19	01-02-19	LOW	LOW	LOW	216550	347	28019.84	6000.301034482759	47815	363	624.063401	.725713688	.025096727	12	335	54	0	0	582.321	22.9007634	14.5038168	11	18338.597011494253	131	18735.94	19	17469.63	30	0	1	1	1	0	364	138.99	0	502.99	131	.763358779	364	0
SHR	02-JAN-19	01-02-19	NRR	NRR	NRR	0	0	0	0	47815	0	0	0	0	0	0	54	0	0	582.321	22.9007634	14.5038168	11	18338.597011494253	131	18735.94	19	17469.63	30	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	02-JAN-19	01-02-19	OTA	OTA	OTA	188818.94	292	41844.75	6099.908850574713	47815	492	646.640205	.610687023	.372268117	178	114	54	0	0	582.321	22.9007634	14.5038168	11	18338.597011494253	131	18735.94	19	17469.63	30	0	1	3	0	1	485	302.37	0	787.37	131	.763358779	485	.763358779
SHR	02-JAN-19	01-02-19	OTH	OTH	OTH	58433.25	102	13704.32	4700.58	47815	132	572.875	.213322179	.054376242	26	76	54	0	0	582.321	22.9007634	14.5038168	11	18338.597011494253	131	18735.94	19	17469.63	30	0	1	2	0	1	275	19.38	0	294.38	131	.763358779	275	.763358779
SHR	02-JAN-19	01-02-19	PCK	PCK	PCK	74475	92	20140.85	8035.93	47815	184	809.510870	.192408240	.110843877	53	39	54	0	0	582.321	22.9007634	14.5038168	11	18338.597011494253	131	18735.94	19	17469.63	30	0	1	2	0	1	455	200.74	0	655.74	131	.763358779	455	.763358779
SHR	02-JAN-19	01-02-19	PRM	PRM	PRM	142066.13	235	42757.73	8712.224482758621	47815	445	604.536723	.491477570	.332531632	159	76	54	0	0	582.321	22.9007634	14.5038168	11	18338.597011494253	131	18735.94	19	17469.63	30	0	6	12	1	5	3083	1219.42	102	4404.42	131	4.58015267	513.8333333333333333333333333333333333	3.81679389
SHR	02-JAN-19	01-02-19	PRV	PRV	PRV	308199.64	300	13729.46	4400.830574712644	47815	516	1027.33213	.627418174	.317891875	152	148	54	0	0	582.321	22.9007634	14.5038168	11	18338.597011494253	131	18735.94	19	17469.63	30	0	4	7	2	2	3783.88	0	0	3783.88	131	3.05343511	945.97	1.52671756
SHR	02-JAN-19	01-02-19	RAK	RAK	RAK	0	0	0	0	47815	0	0	0	0	0	0	54	0	0	582.321	22.9007634	14.5038168	11	18338.597011494253	131	18735.94	19	17469.63	30	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	02-JAN-19	01-02-19	SOC	SOC	SOC	49028	161	2640.49	1415.09632183908	47815	263	304.521739	.336714420	.175677089	84	77	54	0	0	582.321	22.9007634	14.5038168	11	18338.597011494253	131	18735.94	19	17469.63	30	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	02-JAN-19	01-02-19	VOL	VOL	VOL	393309	755	54711.93	15175.982528735632	47815	828	520.939073	1.57900241	.148488968	71	684	54	0	0	582.321	22.9007634	14.5038168	11	18338.597011494253	131	18735.94	19	17469.63	30	0	2	2	2	0	890	0	0	890	131	1.52671756	445	0
SHR	03-JAN-19	01-03-19	BAR	BAR	BAR	660717.25	822	115563.75	39497.350459770114	47815	1209	803.792275	1.71912580	.650423507	311	511	51	0	0	649.014074	20.6106870	13.7404580	9	30762.692988505747	131	22369.78	18	17523.38	27	0	11	22	3	8	7177.25	886.52	177.012988505747	8240.782988505747	131	8.39694656	652.4772727272727272727272727272727273	6.10687023
SHR	03-JAN-19	01-03-19	CON	CON	CON	607773.5	808	111332.54	40399.412298850574	47815	1229	752.194926	1.68984628	.805186657	385	423	51	0	0	649.014074	20.6106870	13.7404580	9	30762.692988505747	131	22369.78	18	17523.38	27	0	6	11	2	4	3191.5	587.48	0	3778.98	131	4.58015267	531.9166666666666666666666666666666667	3.05343511
SHR	03-JAN-19	01-03-19	COR	COR	COR	626405	1066	51217.05	11934.108735632184	47815	1138	587.621951	2.22942591	.138031998	66	1000	51	0	0	649.014074	20.6106870	13.7404580	9	30762.692988505747	131	22369.78	18	17523.38	27	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	03-JAN-19	01-03-19	CPM	CPM	CPM	0	26	3235.43	-122.48	47815	53	0	.054376242	.033462303	16	10	51	0	0	649.014074	20.6106870	13.7404580	9	30762.692988505747	131	22369.78	18	17523.38	27	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	03-JAN-19	01-03-19	HSU	HSU	HSU	-385.66	32	3638133.18	1746095.962068965516	47815	43	-12.051875	.066924605	.020913939	10	22	51	0	0	649.014074	20.6106870	13.7404580	9	30762.692988505747	131	22369.78	18	17523.38	27	0	0	0	0	0	0	19874.73	30025.68	49900.41	131	0	0	0
SHR	03-JAN-19	01-03-19	LOW	LOW	LOW	216550	347	28019.84	6000.301034482759	47815	363	624.063401	.725713688	.025096727	12	335	51	0	0	649.014074	20.6106870	13.7404580	9	30762.692988505747	131	22369.78	18	17523.38	27	0	0	0	0	0	0	144.45	0	144.45	131	0	0	0
SHR	03-JAN-19	01-03-19	NRR	NRR	NRR	0	0	0	0	47815	0	0	0	0	0	0	51	0	0	649.014074	20.6106870	13.7404580	9	30762.692988505747	131	22369.78	18	17523.38	27	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	03-JAN-19	01-03-19	OTA	OTA	OTA	188818.94	292	41844.75	6099.908850574713	47815	492	646.640205	.610687023	.372268117	178	114	51	0	0	649.014074	20.6106870	13.7404580	9	30762.692988505747	131	22369.78	18	17523.38	27	0	0	0	0	0	0	378.81	0	378.81	131	0	0	0
SHR	03-JAN-19	01-03-19	OTH	OTH	OTH	58433.25	102	13704.32	4700.58	47815	132	572.875	.213322179	.054376242	26	76	51	0	0	649.014074	20.6106870	13.7404580	9	30762.692988505747	131	22369.78	18	17523.38	27	0	0	0	0	0	0	5.34	560	565.34	131	0	0	0
SHR	03-JAN-19	01-03-19	PCK	PCK	PCK	74475	92	20140.85	8035.93	47815	184	809.510870	.192408240	.110843877	53	39	51	0	0	649.014074	20.6106870	13.7404580	9	30762.692988505747	131	22369.78	18	17523.38	27	0	0	0	0	0	0	65.46	0	65.46	131	0	0	0
SHR	03-JAN-19	01-03-19	PRM	PRM	PRM	142066.13	235	42757.73	8712.224482758621	47815	445	604.536723	.491477570	.332531632	159	76	51	0	0	649.014074	20.6106870	13.7404580	9	30762.692988505747	131	22369.78	18	17523.38	27	0	5	10	1	4	2925.75	395.84	0	3321.59	131	3.81679389	585.15	3.05343511
SHR	03-JAN-19	01-03-19	PRV	PRV	PRV	308199.64	300	13729.46	4400.830574712644	47815	516	1027.33213	.627418174	.317891875	152	148	51	0	0	649.014074	20.6106870	13.7404580	9	30762.692988505747	131	22369.78	18	17523.38	27	0	4	7	2	2	3783.88	0	0	3783.88	131	3.05343511	945.97	1.52671756
SHR	03-JAN-19	01-03-19	RAK	RAK	RAK	0	0	0	0	47815	0	0	0	0	0	0	51	0	0	649.014074	20.6106870	13.7404580	9	30762.692988505747	131	22369.78	18	17523.38	27	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	03-JAN-19	01-03-19	SOC	SOC	SOC	49028	161	2640.49	1415.09632183908	47815	263	304.521739	.336714420	.175677089	84	77	51	0	0	649.014074	20.6106870	13.7404580	9	30762.692988505747	131	22369.78	18	17523.38	27	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	03-JAN-19	01-03-19	VOL	VOL	VOL	393309	755	54711.93	15175.982528735632	47815	828	520.939073	1.57900241	.148488968	71	684	51	0	0	649.014074	20.6106870	13.7404580	9	30762.692988505747	131	22369.78	18	17523.38	27	0	1	1	1	0	445	31.15	0	476.15	131	.763358779	445	0
SHR	04-JAN-19	01-04-19	BAR	BAR	BAR	660717.25	822	115563.75	39497.350459770114	47815	1209	803.792275	1.71912580	.650423507	311	511	73	0	0	606.932857	32.0610687	17.5572519	19	22596.65	131	28860.46	23	25491.18	42	0	8	15	3	5	6460	1769.18	336.97	8566.15	131	6.10687023	807.5	3.81679389
SHR	04-JAN-19	01-04-19	CON	CON	CON	607773.5	808	111332.54	40399.412298850574	47815	1229	752.194926	1.68984628	.805186657	385	423	73	0	0	606.932857	32.0610687	17.5572519	19	22596.65	131	28860.46	23	25491.18	42	0	9	19	1	8	5291.5	1215.89	150	6657.39	131	6.87022901	587.9444444444444444444444444444444444	6.10687023
SHR	04-JAN-19	01-04-19	COR	COR	COR	626405	1066	51217.05	11934.108735632184	47815	1138	587.621951	2.22942591	.138031998	66	1000	73	0	0	606.932857	32.0610687	17.5572519	19	22596.65	131	28860.46	23	25491.18	42	0	16	24	11	5	7350	1881.43	570	9801.43	131	12.2137405	459.375	3.81679389
SHR	04-JAN-19	01-04-19	CPM	CPM	CPM	0	26	3235.43	-122.48	47815	53	0	.054376242	.033462303	16	10	73	0	0	606.932857	32.0610687	17.5572519	19	22596.65	131	28860.46	23	25491.18	42	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	04-JAN-19	01-04-19	HSU	HSU	HSU	-385.66	32	3638133.18	1746095.962068965516	47815	43	-12.051875	.066924605	.020913939	10	22	73	0	0	606.932857	32.0610687	17.5572519	19	22596.65	131	28860.46	23	25491.18	42	0	0	0	0	0	0	23236.22	20744.69	43980.91	131	0	0	0
SHR	04-JAN-19	01-04-19	LOW	LOW	LOW	216550	347	28019.84	6000.301034482759	47815	363	624.063401	.725713688	.025096727	12	335	73	0	0	606.932857	32.0610687	17.5572519	19	22596.65	131	28860.46	23	25491.18	42	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	04-JAN-19	01-04-19	NRR	NRR	NRR	0	0	0	0	47815	0	0	0	0	0	0	73	0	0	606.932857	32.0610687	17.5572519	19	22596.65	131	28860.46	23	25491.18	42	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	04-JAN-19	01-04-19	OTA	OTA	OTA	188818.94	292	41844.75	6099.908850574713	47815	492	646.640205	.610687023	.372268117	178	114	73	0	0	606.932857	32.0610687	17.5572519	19	22596.65	131	28860.46	23	25491.18	42	0	1	2	0	1	353.56	438.93	30	822.49	131	.763358779	353.56	.763358779
SHR	04-JAN-19	01-04-19	OTH	OTH	OTH	58433.25	102	13704.32	4700.58	47815	132	572.875	.213322179	.054376242	26	76	73	0	0	606.932857	32.0610687	17.5572519	19	22596.65	131	28860.46	23	25491.18	42	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	04-JAN-19	01-04-19	PCK	PCK	PCK	74475	92	20140.85	8035.93	47815	184	809.510870	.192408240	.110843877	53	39	73	0	0	606.932857	32.0610687	17.5572519	19	22596.65	131	28860.46	23	25491.18	42	0	2	4	0	2	1030	153.21	614.99	1798.2	131	1.52671756	515	1.52671756
SHR	04-JAN-19	01-04-19	PRM	PRM	PRM	142066.13	235	42757.73	8712.224482758621	47815	445	604.536723	.491477570	.332531632	159	76	73	0	0	606.932857	32.0610687	17.5572519	19	22596.65	131	28860.46	23	25491.18	42	0	2	2	2	0	1222.25	165.6	150	1537.85	131	1.52671756	611.125	0
SHR	04-JAN-19	01-04-19	PRV	PRV	PRV	308199.64	300	13729.46	4400.830574712644	47815	516	1027.33213	.627418174	.317891875	152	148	73	0	0	606.932857	32.0610687	17.5572519	19	22596.65	131	28860.46	23	25491.18	42	0	4	7	2	2	3783.87	0	0	3783.87	131	3.05343511	945.9675	1.52671756
SHR	04-JAN-19	01-04-19	RAK	RAK	RAK	0	0	0	0	47815	0	0	0	0	0	0	73	0	0	606.932857	32.0610687	17.5572519	19	22596.65	131	28860.46	23	25491.18	42	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	04-JAN-19	01-04-19	SOC	SOC	SOC	49028	161	2640.49	1415.09632183908	47815	263	304.521739	.336714420	.175677089	84	77	73	0	0	606.932857	32.0610687	17.5572519	19	22596.65	131	28860.46	23	25491.18	42	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	04-JAN-19	01-04-19	VOL	VOL	VOL	393309	755	54711.93	15175.982528735632	47815	828	520.939073	1.57900241	.148488968	71	684	73	0	0	606.932857	32.0610687	17.5572519	19	22596.65	131	28860.46	23	25491.18	42	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	05-JAN-19	01-05-19	BAR	BAR	BAR	660717.25	822	115563.75	39497.350459770114	47815	1209	803.792275	1.71912580	.650423507	311	511	147	0	0	645.101075	70.9923664	32.0610687	51	23993.71816091954	131	69358.07	42	59994.4	93	0	17	33	5	12	16285	3531.7	188.99	20005.69	131	12.9770992	957.9411764705882352941176470588235294	9.16030534
SHR	05-JAN-19	01-05-19	CON	CON	CON	607773.5	808	111332.54	40399.412298850574	47815	1229	752.194926	1.68984628	.805186657	385	423	147	0	0	645.101075	70.9923664	32.0610687	51	23993.71816091954	131	69358.07	42	59994.4	93	0	11	24	0	11	7967	736.37	-35.32183908046	8668.04816091954	131	8.39694656	724.2727272727272727272727272727272727	8.39694656
SHR	05-JAN-19	01-05-19	COR	COR	COR	626405	1066	51217.05	11934.108735632184	47815	1138	587.621951	2.22942591	.138031998	66	1000	147	0	0	645.101075	70.9923664	32.0610687	51	23993.71816091954	131	69358.07	42	59994.4	93	0	50	64	39	11	24405	2580.68	708.24	27693.92	131	38.1679389	488.1	8.39694656
SHR	05-JAN-19	01-05-19	CPM	CPM	CPM	0	26	3235.43	-122.48	47815	53	0	.054376242	.033462303	16	10	147	0	0	645.101075	70.9923664	32.0610687	51	23993.71816091954	131	69358.07	42	59994.4	93	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	05-JAN-19	01-05-19	HSU	HSU	HSU	-385.66	32	3638133.18	1746095.962068965516	47815	43	-12.051875	.066924605	.020913939	10	22	147	0	0	645.101075	70.9923664	32.0610687	51	23993.71816091954	131	69358.07	42	59994.4	93	0	0	0	0	0	0	59113.23	22354.06	81467.29	131	0	0	0
SHR	05-JAN-19	01-05-19	LOW	LOW	LOW	216550	347	28019.84	6000.301034482759	47815	363	624.063401	.725713688	.025096727	12	335	147	0	0	645.101075	70.9923664	32.0610687	51	23993.71816091954	131	69358.07	42	59994.4	93	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	05-JAN-19	01-05-19	NRR	NRR	NRR	0	0	0	0	47815	0	0	0	0	0	0	147	0	0	645.101075	70.9923664	32.0610687	51	23993.71816091954	131	69358.07	42	59994.4	93	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	05-JAN-19	01-05-19	OTA	OTA	OTA	188818.94	292	41844.75	6099.908850574713	47815	492	646.640205	.610687023	.372268117	178	114	147	0	0	645.101075	70.9923664	32.0610687	51	23993.71816091954	131	69358.07	42	59994.4	93	0	4	6	2	2	2379.53	558.42	0	2937.95	131	3.05343511	594.8825	1.52671756
SHR	05-JAN-19	01-05-19	OTH	OTH	OTH	58433.25	102	13704.32	4700.58	47815	132	572.875	.213322179	.054376242	26	76	147	0	0	645.101075	70.9923664	32.0610687	51	23993.71816091954	131	69358.07	42	59994.4	93	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	05-JAN-19	01-05-19	PCK	PCK	PCK	74475	92	20140.85	8035.93	47815	184	809.510870	.192408240	.110843877	53	39	147	0	0	645.101075	70.9923664	32.0610687	51	23993.71816091954	131	69358.07	42	59994.4	93	0	4	9	1	3	3970	2738.46	60	6768.46	131	3.05343511	992.5	2.29007634
SHR	05-JAN-19	01-05-19	PRM	PRM	PRM	142066.13	235	42757.73	8712.224482758621	47815	445	604.536723	.491477570	.332531632	159	76	147	0	0	645.101075	70.9923664	32.0610687	51	23993.71816091954	131	69358.07	42	59994.4	93	0	1	1	1	0	0	67.15	717.75	784.9	131	.763358779	0	0
SHR	05-JAN-19	01-05-19	PRV	PRV	PRV	308199.64	300	13729.46	4400.830574712644	47815	516	1027.33213	.627418174	.317891875	152	148	147	0	0	645.101075	70.9923664	32.0610687	51	23993.71816091954	131	69358.07	42	59994.4	93	0	4	7	2	2	3783.87	32.06	0	3815.93	131	3.05343511	945.9675	1.52671756
SHR	05-JAN-19	01-05-19	RAK	RAK	RAK	0	0	0	0	47815	0	0	0	0	0	0	147	0	0	645.101075	70.9923664	32.0610687	51	23993.71816091954	131	69358.07	42	59994.4	93	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	05-JAN-19	01-05-19	SOC	SOC	SOC	49028	161	2640.49	1415.09632183908	47815	263	304.521739	.336714420	.175677089	84	77	147	0	0	645.101075	70.9923664	32.0610687	51	23993.71816091954	131	69358.07	42	59994.4	93	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	05-JAN-19	01-05-19	VOL	VOL	VOL	393309	755	54711.93	15175.982528735632	47815	828	520.939073	1.57900241	.148488968	71	684	147	0	0	645.101075	70.9923664	32.0610687	51	23993.71816091954	131	69358.07	42	59994.4	93	0	2	3	1	1	1204	0	0	1204	131	1.52671756	602	.763358779
SHR	06-JAN-19	01-06-19	BAR	BAR	BAR	660717.25	822	115563.75	39497.350459770114	47815	1209	803.792275	1.71912580	.650423507	311	511	137	0	0	825.015581	65.6488550	31.2977099	45	26312.344022988506	131	46568.45	41	70951.34	86	0	10	19	2	8	9270	941.89	502.83908045977	10714.72908045977	131	7.63358779	927	6.10687023
SHR	06-JAN-19	01-06-19	CON	CON	CON	607773.5	808	111332.54	40399.412298850574	47815	1229	752.194926	1.68984628	.805186657	385	423	137	0	0	825.015581	65.6488550	31.2977099	45	26312.344022988506	131	46568.45	41	70951.34	86	0	16	30	5	11	15350	2422.8	3232.887931034483	21005.687931034483	131	12.2137405	959.375	8.39694656
SHR	06-JAN-19	01-06-19	COR	COR	COR	626405	1066	51217.05	11934.108735632184	47815	1138	587.621951	2.22942591	.138031998	66	1000	137	0	0	825.015581	65.6488550	31.2977099	45	26312.344022988506	131	46568.45	41	70951.34	86	0	30	37	23	7	20620	3627.64	250	24497.64	131	22.9007634	687.3333333333333333333333333333333333	5.34351145
SHR	06-JAN-19	01-06-19	CPM	CPM	CPM	0	26	3235.43	-122.48	47815	53	0	.054376242	.033462303	16	10	137	0	0	825.015581	65.6488550	31.2977099	45	26312.344022988506	131	46568.45	41	70951.34	86	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	06-JAN-19	01-06-19	HSU	HSU	HSU	-385.66	32	3638133.18	1746095.962068965516	47815	43	-12.051875	.066924605	.020913939	10	22	137	0	0	825.015581	65.6488550	31.2977099	45	26312.344022988506	131	46568.45	41	70951.34	86	0	0	0	0	0	0	36600.34	21783.15	58383.49	131	0	0	0
SHR	06-JAN-19	01-06-19	LOW	LOW	LOW	216550	347	28019.84	6000.301034482759	47815	363	624.063401	.725713688	.025096727	12	335	137	0	0	825.015581	65.6488550	31.2977099	45	26312.344022988506	131	46568.45	41	70951.34	86	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	06-JAN-19	01-06-19	NRR	NRR	NRR	0	0	0	0	47815	0	0	0	0	0	0	137	0	0	825.015581	65.6488550	31.2977099	45	26312.344022988506	131	46568.45	41	70951.34	86	0	0	0	0	0	0	0	0	0	131	0	0	0
SHR	06-JAN-19	01-06-19	OTA	OTA	OTA	188818.94	292	41844.75	6099.908850574713	47815	492	646.640205	.610687023	.372268117	178	114	137	0	0	825.015581	65.6488550	31.2977099	45	26312.344022988506	131	46568.45	41	70951.34	86	0	9	18	3	6	8818.47	2189.19	179.99	11187.65	131	6.87022901	979.83	4.58015267
SHR	06-JAN-19	01-06-19	OTH	OTH	OTH	58433.25	102	13704.32	4700.58	47815	132	572.875	.213322179	.054376242	26	76	137	0	0	825.015581	65.6488550	31.2977099	45	26312.344022988506	131	46568.45	41	70951.34	86	0	5	8	2	3	3250	0	0	3250	131	3.81679389	650	2.29007634
